Distance to edge[mm];ERF values;PSF values;
-0,137847;0,0287921;0,132162;
-0,137515;0,0283854;0,128141;
-0,137183;0,0288391;0,124844;
-0,136852;0,028557;0,122407;
-0,13652;0,0276404;0,120325;
-0,136188;0,0278436;0,118135;
-0,135856;0,0275287;0,115888;
-0,135525;0,0274548;0,11362;
-0,135193;0,0271487;0,11224;
-0,134861;0,0271595;0,111013;
-0,134529;0,027557;0,110552;
-0,134197;0,0265534;0,110751;
-0,133866;0,0263669;0,111316;
-0,133534;0,0272044;0,110923;
-0,133202;0,0283865;0,111676;
-0,13287;0,0282838;0,112945;
-0,132539;0,0285426;0,114788;
-0,132207;0,0295934;0,116301;
-0,131875;0,0295515;0,118008;
-0,131543;0,0291055;0,11921;
-0,131212;0,0290402;0,119907;
-0,13088;0,0287963;0,120719;
-0,130548;0,0277451;0,122067;
-0,130216;0,0275604;0,124567;
-0,129885;0,0271601;0,126894;
-0,129553;0,027717;0,130058;
-0,129221;0,0274738;0,133318;
-0,128889;0,0270599;0,136428;
-0,128558;0,0270924;0,140081;
-0,128226;0,0270657;0,144205;
-0,127894;0,0258441;0,147873;
-0,127562;0,0254557;0,151777;
-0,12723;0,0267565;0,154624;
-0,126899;0,0265484;0,157787;
-0,126567;0,027016;0,160356;
-0,126235;0,0277957;0,162296;
-0,125903;0,028612;0,163668;
-0,125572;0,0293071;0,165077;
-0,12524;0,0288479;0,166035;
-0,124908;0,0301195;0,16855;
-0,124576;0,0317185;0,171198;
-0,124245;0,031622;0,174034;
-0,123913;0,0303089;0,176711;
-0,123581;0,0304005;0,180132;
-0,123249;0,0314466;0,183836;
-0,122918;0,031414;0,187181;
-0,122586;0,0320265;0,189815;
-0,122254;0,0335971;0,192147;
-0,121922;0,0343968;0,193265;
-0,121591;0,0351095;0,193881;
-0,121259;0,0341998;0,194223;
-0,120927;0,0345517;0,194303;
-0,120595;0,0344457;0,193755;
-0,120264;0,0347651;0,192942;
-0,119932;0,0343558;0,191234;
-0,1196;0,0343313;0,188766;
-0,119268;0,0340663;0,186754;
-0,118936;0,0338841;0,18492;
-0,118605;0,0333753;0,183411;
-0,118273;0,0353737;0,18139;
-0,117941;0,0348052;0,1784;
-0,117609;0,0358554;0,175479;
-0,117278;0,0369802;0,173485;
-0,116946;0,0386026;0,170671;
-0,116614;0,039433;0,167222;
-0,116282;0,0405341;0,163985;
-0,115951;0,0407003;0,161652;
-0,115619;0,0420118;0,158338;
-0,115287;0,0421912;0,154537;
-0,114955;0,0419758;0,150499;
-0,114624;0,0415153;0,147122;
-0,114292;0,0409166;0,144302;
-0,11396;0,039717;0,141553;
-0,113628;0,0395753;0,139529;
-0,113297;0,039243;0,137881;
-0,112965;0,0396427;0,136097;
-0,112633;0,0393472;0,134154;
-0,112301;0,0397431;0,132001;
-0,111969;0,0394314;0,130367;
-0,111638;0,0398916;0,129509;
-0,111306;0,0388739;0,128665;
-0,110974;0,0393345;0,128683;
-0,110642;0,040132;0,129583;
-0,110311;0,0390857;0,131294;
-0,109979;0,0382549;0,13369;
-0,109647;0,0386923;0,136151;
-0,109315;0,0399469;0,139628;
-0,108984;0,040318;0,142841;
-0,108652;0,0410673;0,147763;
-0,10832;0,0401684;0,152743;
-0,107988;0,0410196;0,157913;
-0,107657;0,0417187;0,163575;
-0,107325;0,0414417;0,169727;
-0,106993;0,041507;0,175983;
-0,106661;0,042217;0,182181;
-0,10633;0,0416798;0,187654;
-0,105998;0,0423936;0,192755;
-0,105666;0,0437906;0,198177;
-0,105334;0,0444307;0,202778;
-0,105002;0,0447151;0,207295;
-0,104671;0,045291;0,212684;
-0,104339;0,0457248;0,218247;
-0,104007;0,045544;0,223371;
-0,103675;0,0458121;0,228452;
-0,103344;0,0460452;0,233781;
-0,103012;0,0471955;0,23896;
-0,10268;0,0469366;0,244342;
-0,102348;0,0481173;0,248356;
-0,102017;0,0479011;0,251936;
-0,101685;0,0484039;0,25531;
-0,101353;0,04876;0,257538;
-0,101021;0,0497153;0,260018;
-0,10069;0,051808;0,261826;
-0,100358;0,05369;0,263405;
-0,100026;0,0547282;0,264491;
-0,0996943;0,0559209;0,264974;
-0,0993625;0,0577006;0,264434;
-0,0990308;0,0592023;0,263651;
-0,098699;0,0594449;0,261902;
-0,0983673;0,0599517;0,259767;
-0,0980355;0,0601829;0,258506;
-0,0977037;0,061231;0,256249;
-0,097372;0,0615988;0,25372;
-0,0970402;0,0622499;0,252618;
-0,0967084;0,0621915;0,251053;
-0,0963767;0,0637406;0,248524;
-0,0960449;0,0647156;0,245486;
-0,0957132;0,0652959;0,243033;
-0,0953814;0,0657158;0,240198;
-0,0950496;0,0671335;0,237261;
-0,0947179;0,0672898;0,234676;
-0,0943861;0,0675821;0,233434;
-0,0940544;0,067442;0,233208;
-0,0937226;0,0673287;0,233328;
-0,0933908;0,0682667;0,234093;
-0,0930591;0,0698188;0,235078;
-0,0927273;0,0697495;0,236862;
-0,0923956;0,0702081;0,239863;
-0,0920638;0,0708739;0,243564;
-0,091732;0,0730085;0,247459;
-0,0914003;0,0736984;0,251228;
-0,0910685;0,0736292;0,254472;
-0,0907367;0,0743299;0,258399;
-0,090405;0,0751103;0,26226;
-0,0900732;0,0768855;0,265137;
-0,0897415;0,0781268;0,267895;
-0,0894097;0,0787526;0,270668;
-0,0890779;0,0787447;0,273734;
-0,0887462;0,0809273;0,277308;
-0,0884144;0,0818321;0,281335;
-0,0880826;0,081957;0,286313;
-0,0877509;0,0832439;0,291532;
-0,0874191;0,0844445;0,297002;
-0,0870874;0,0858399;0,301957;
-0,0867556;0,0863012;0,306739;
-0,0864238;0,0876905;0,311374;
-0,0860921;0,0890375;0,315823;
-0,0857603;0,090751;0,320127;
-0,0854286;0,090986;0,324616;
-0,0850968;0,0916358;0,330113;
-0,084765;0,092085;0,335622;
-0,0844333;0,0937035;0,340979;
-0,0841015;0,0945835;0,346539;
-0,0837698;0,0963549;0,35284;
-0,083438;0,0971916;0,359017;
-0,0831062;0,0990284;0,366147;
-0,0827745;0,101226;0,373566;
-0,0824427;0,102677;0,380615;
-0,0821109;0,104609;0,387592;
-0,0817792;0,105769;0,394129;
-0,0814474;0,107599;0,400952;
-0,0811157;0,109891;0,407889;
-0,0807839;0,11118;0,414556;
-0,0804521;0,113532;0,420719;
-0,0801204;0,115469;0,426938;
-0,0797886;0,117562;0,433805;
-0,0794569;0,118863;0,439616;
-0,0791251;0,120046;0,446073;
-0,0787933;0,121729;0,452132;
-0,0784616;0,124298;0,458187;
-0,0781298;0,126274;0,465012;
-0,077798;0,128227;0,470586;
-0,0774663;0,130531;0,477195;
-0,0771345;0,1332;0,483585;
-0,0768028;0,134725;0,489942;
-0,076471;0,13698;0,49593;
-0,0761392;0,138081;0,501024;
-0,0758075;0,140949;0,506726;
-0,0754757;0,14454;0,511665;
-0,075144;0,146964;0,515836;
-0,0748122;0,147777;0,520717;
-0,0744804;0,151213;0,524651;
-0,0741487;0,153081;0,528537;
-0,0738169;0,155573;0,532203;
-0,0734852;0,157135;0,536079;
-0,0731534;0,159485;0,540887;
-0,0728216;0,163396;0,544598;
-0,0724899;0,166048;0,549848;
-0,0721581;0,168942;0,553716;
-0,0718263;0,171195;0,557726;
